序号,刊名,收录,2023IF,JCR分区,中科院分区
1 ,Annual Review of Psychology,SSCI,23.6 ,Q1,1区
2 ,TRENDS IN COGNITIVE SCIENCES,SSCI,16.7 ,Q1,1区
3 ,Nature Reviews Psychology,ESCI,16.8 ,Q1,1区
4 ,Nature Human Behaviour,SSCI,21.4 ,Q1,1区
5 ,Annual Review of Clinical Psychology,SSCI,17.8 ,Q1,1区
6 ,Social Issues and Policy Review,SSCI,7.2 ,Q1,1区
7 ,CLINICAL PSYCHOLOGY REVIEW,SSCI,13.7 ,Q1,1区
8 ,PSYCHOLOGICAL BULLETIN,SSCI,17.3 ,Q1,1区
9 ,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,SSCI,7.7 ,Q1,1区
10 ,Advances in Methods and Practices in Psychological Science,SSCI,15.6 ,Q1,1区
11 ,International Review of Sport and Exercise Psychology,SSCI,6.4 ,Q1,1区
12 ,Perspectives on Psychological Science,SSCI,10.5 ,Q1,1区
13 ,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,SSCI,7.4 ,Q1,1区
14 ,Child Development Perspectives,SSCI,5.1 ,Q1,1区
15 ,AMERICAN PSYCHOLOGIST,SSCI,12.3 ,Q1,1区
16 ,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,SSCI,6.4 ,Q1,1区
17 ,European Review of Social Psychology,SSCI,10.1 ,Q1,1区
18 ,JOURNAL OF APPLIED PSYCHOLOGY,SSCI,9.4 ,Q1,1区
19 ,Psychological Science in the Public Interest,SSCI,18.2 ,Q1,1区
20 ,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,SSCI,4.5 ,Q1,1区
21 ,COMPUTERS IN HUMAN BEHAVIOR,SSCI,9.0 ,Q1,1区
22 ,CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,SSCI,5.5 ,Q1,1区
23 ,DEVELOPMENTAL REVIEW,SSCI,5.7 ,Q1,1区
24 ,PSYCHOLOGICAL REVIEW,SSCI,5.1 ,Q1,1区
25 ,NEUROPSYCHOLOGY REVIEW,SSCI,5.4 ,Q1,1区
26 ,PSYCHOLOGICAL METHODS,SSCI,7.6 ,Q1,1区
27 ,BEHAVIORAL AND BRAIN SCIENCES,SSCI,16.6 ,Q1,1区
28 ,MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,SSCI,9.4 ,Q1,1区
29 ,PSYCHOLOGICAL SCIENCE,SSCI,4.8 ,Q1,1区
30 ,Body Image,SSCI,5.2 ,Q1,1区
31 ,PERSONNEL PSYCHOLOGY,SSCI,4.7 ,Q1,1区
32 ,JOURNAL OF VOCATIONAL BEHAVIOR,SSCI,5.2 ,Q1,1区
